Car Name,KM Driven,Fuel Type,Transmission,Ownership,Price,Location
2011 Mahindra Scorpio VLX 2WD BS-III,65.37k km,Diesel,Manual,1st owner,4.47 lakh,"Gas Quarters, Karond, Bhopal"
2018 Maruti Baleno DELTA PETROL 1.2,42.73k km,Petrol,Manual,1st owner,4.25 lakh,Amrawad Khurd Bhopal Madhya Pradesh
2020 Maruti Baleno ZETA CVT PETROL 1.2,13.24k km,Petrol,Auto,1st owner,6.80 lakh,Khanugaon Bhopal Madhya Pradesh
2014 Mahindra XUV500 W8,76.29k km,Diesel,Manual,2nd owner,5.90 lakh,"Service Road, Sonagiri, Bhopal"
2015 Hyundai Grand i10,54.76k km,Petrol,Manual,1st owner,3.85 lakh,"C22,Narayan Nagar, Bhopal"
2017 Maruti Swift LDI,72.85k km,Diesel,Manual,1st owner,4.50 lakh,"Peoples Mall Near by Karond by Bass, Bhopal"
2015 Volkswagen Cross Polo,50.82k km,Diesel,Manual,2nd owner,4.00L,"Service Road, Sonagiri, Bhopal"
2018 BMW X1 sDrive 20d Expedition,61.26k km,Diesel,Auto,1st owner,22.45 lakh,Kolar Rd Bhopal Madhya Pradesh
2017 Ford Figo Aspire,71.15k km,Petrol,Manual,2nd owner,3.25 lakh,Lalghati Bhopal Madhya Pradesh
2018 Tata Hexa XE 4X2 7 STR,72.16k km,Diesel,Manual,1st owner,7.84 lakh,"C22,Narayan Nagar, Bhopal"
2022 Hyundai Creta SX IVT 1.5 PETROL,12.04k km,Petrol,Auto,1st owner,14.38 lakh,Lalghati Bhopal Madhya Pradesh
2022 Hyundai AURA S 1.2 CNG,1.1L km,Petrol,Manual,1st owner,5.90 lakh,Huzur Tahsil Bhopal Madhya Pradesh
2019 Honda City 1.5L I-VTEC ZX,73.31k km,Petrol,Manual,1st owner,8.97 lakh,Salaiya Bhopal Madhya Pradesh
2012 Mercedes Benz B Class,42.50k km,Petrol,Auto,2nd owner,9.90L,"Service Road, Sonagiri, Bhopal"
